"EnrichmentMap::Colouring (gat_d_en)","EnrichmentMap::ES (gat_d_en)","EnrichmentMap::fdr_qvalue (gat_d_en)","EnrichmentMap::fwer_qvalue (gat_d_en)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (gat_d_en)","EnrichmentMap::pvalue (gat_d_en)","MCODE::Clusters (2)","MCODE::Node Status (2)","MCODE::Score (2)","name","selected","shared name","wordcloud.sync"
"0.9998718071638496",,"1.2819283615045325E-4",,"MMP2|COL3A1|DAG1|ANGPT1|VTN|KDR|FGF10|ZBED3|IGF2|IGF1|COL1A1|RSPO3|VEGFA|PCSK5|ADIPOQ|LAMA5|COL5A2|GREM2|LAMA4|EFNA1|LAMB1|YBX1","embryo development","22","ENR","GO:0009790","1.0","1.2819283615045325E-4","Cluster 5","Clustered","91.46534653465346","GO:0009790","false","GO:0009790","false"
"0.9996669113381965",,"3.330886618034348E-4",,"ADAMTS9|ANGPT4|PTN|AGT|TAFA5|COL4A3","negative regulation of angiogenesis","6","ENR","GO:0016525","1.0","3.330886618034348E-4","Cluster 8","Clustered","53.0","GO:0016525","false","GO:0016525","false"
"0.998402642137996",,"0.0015973578620039719",,"VEGFA|ADAMTS16|COL4A1|LAMA5|AGT|NPNT","renal tubule morphogenesis","6","ENR","GO:0061333","1.0","0.0015973578620039719","Cluster 4","Clustered","48.75983061101029","GO:0061333","false","GO:0061333","false"
"0.9999917811083121",,"8.218891687873858E-6",,"COL3A1|ANGPT1|ADAMTS12|AGT|FGFBP3|NPNT|KDR|ASPN|BMPER|FGF10|COL1A1|VEGFA|COL1A2|MMRN2|PDGFB|GREM2|ADAMTS7|VEGFB","response to growth factor","18","ENR","GO:0070848","1.0","8.218891687873858E-6","Cluster 1","Clustered","96.11858647638465","GO:0070848","false","GO:0070848","false"
"0.9996084757240933",,"3.9152427590667416E-4",,"ADAMTS9|ANGPT4|PTN|AGT|TAFA5|COL4A3","negative regulation of vasculature development","6","ENR","GO:1901343","1.0","3.9152427590667416E-4","Cluster 8","Clustered","53.0","GO:1901343","false","GO:1901343","false"
"0.9999992836662367",,"7.163337633355927E-7",,"ANGPT4|PTN|AGT|TAFA5|KDR|COL4A3|BMPER|IGF2|NAXE|ADAMTS9|VEGFA|ENPP2|VEGFB|EFNA1","regulation of vasculature development","14","ENR","GO:1901342","1.0","7.163337633355927E-7","Cluster 5","Clustered","95.63163463233997","GO:1901342","false","GO:1901342","false"
"0.9999993948103567",,"6.051896432701625E-7",,"ANGPT4|PTN|AGT|TAFA5|KDR|COL4A3|BMPER|IGF2|NAXE|ADAMTS9|VEGFA|ENPP2|VEGFB|EFNA1","regulation of angiogenesis","14","ENR","GO:0045765","1.0","6.051896432701625E-7","Cluster 5","Seed","95.63163463233997","GO:0045765","false","GO:0045765","false"
"0.9999994005984105",,"5.994015895075724E-7",,"POSTN|ANGPT4|PTN|ADAMTS12|AGT|TAFA5|ASPN|COL4A3|CPE|FGF10|FGL2|IGF2|IGF1|PI16|NAXE|ADAMTS9|VEGFA|ADIPOQ|COL5A2|PDGFB|ADAMTS7|CHADL|EFNA1|YBX1","negative regulation of developmental process","24","ENR","GO:0051093","1.0","5.994015895075724E-7","Cluster 5","Clustered","76.87931034482759","GO:0051093","false","GO:0051093","false"
"0.9999985294803954",,"1.470519604589196E-6",,"IL15RA|AGT|NPNT|THPO|ZBED3|LPL|COL1A1|ADAMTS9|LAMB1|DAG1|ANGPT4|PTN|RETN|TRF|KDR|BMPER|FGF10|IGF2|IGF1|VEGFA|ADIPOQ|MMRN2|PDGFB|ENPP2|VEGFB|CXCL12|C1QBP","positive regulation of developmental process","27","ENR","GO:0051094","1.0","1.470519604589196E-6","Cluster 1","Clustered","118.61917808219178","GO:0051094","false","GO:0051094","false"
"0.9994713762549442",,"5.286237450558126E-4",,"PCSK5|ADIPOQ|AGT|PDGFB|TAFA5","vascular associated smooth muscle cell migration","5","ENR","GO:1904738","1.0","5.286237450558126E-4","Cluster 10","Clustered","58.48942307692308","GO:1904738","false","GO:1904738","false"
"0.9989640329535467",,"0.001035967046453295",,"REN1|VEGFA|ANGPT1|ADGRG1|RETN|INSL3|KDR|TNC|FGF10|IGF1","reproductive system development","10","ENR","GO:0061458","1.0","0.001035967046453295","Cluster 5","Clustered","80.71821305841924","GO:0061458","false","GO:0061458","false"
"0.9999999997597048",,"2.402952322065198E-10",,"POSTN|IL15RA|ADAMTS12|PRXL2A|AGT|NPNT|THPO|ASPN|COL4A3|CPE|ZBED3|FGL2|LPL|PI16|COL1A1|NAXE|ADAMTS9|COL5A2|ADAMTS7|CHADL|LAMB1|YBX1|DAG1|ANGPT4|PTN|RETN|TRF|TAFA5|KDR|BMPER|FGF10|IGF2|IGF1|VEGFA|ADIPOQ|LAMA5|MMRN2|PDGFB|ENPP2|LAMA4|VEGFB|EFNA1|CXCL12|C1QBP","regulation of developmental process","44","ENR","GO:0050793","1.0","2.402952322065198E-10","Cluster 1","Clustered","119.60699102503543","GO:0050793","false","GO:0050793","false"
"0.9998690963580142",,"1.309036419858071E-4",,"PTN|KDR|COL4A3|BMPER|FGF10|IGF2|IGF1|EGFL7|VEGFA|LAMA5|MMRN2|PDGFB|VEGFB|CXCL12","epithelial cell proliferation","14","ENR","GO:0050673","1.0","1.309036419858071E-4","Cluster 1","Clustered","114.53442332315572","GO:0050673","false","GO:0050673","false"
"0.9999955341827612",,"4.465817238805538E-6",,"COL3A1|POSTN|ELN|ADAMTS12|AGT|VTN|NPNT|COL4A3|COL4A5|COL1A1|ADAMTS9|ADAMTS16|OLFML2B|COL1A2|COL4A1|COL5A2|ADAMTS14|ADAMTS7|CHADL|KAZALD1|LUM|ECM2|LAMB1|QSOX1|MMP2|DAG1|ANGPT1|ANGPT4|PTN|RETN|INSL3|TRF|TAFA5|KDR|TNC|BMPER|FGF10|PODN|IGF2|IGF1|EGFL7|VEGFA|PCSK5|ADGRG1|ADIPOQ|LAMA5|MMRN2|PDGFB|ENPP2|LAMA4|VEGFB|EFNA1|CXCL12|C1QBP|PTGDS|LIPG|REN1|APOC1|IL15RA|IL17RB|PRXL2A|FGFBP3|FABP5|THPO|ASPN|CPE|ZBED3|FGL2|LPL|PI16|RSPO3|SPON1|MMRN1|SPARCL1|IGFBP7|CFD|MASP1|GREM2|NRG4|CPZ|C1QTNF12|CTF1|HP|YBX1|CAP2|C2|NAMPT|HNRNPA2B1|C1QTNF2|LGI3","regulation of cellular process","90","ENR","GO:0050794","1.0","4.465817238805538E-6","Cluster 1","Clustered","119.60699102503543","GO:0050794","false","GO:0050794","false"
"0.99957462784182",,"4.2537215817992525E-4",,"ANGPT1|MMRN2|KDR|VEGFB|FGF10","regulation of vascular endothelial growth factor receptor signaling pathway","5","ENR","GO:0030947","1.0","4.2537215817992525E-4","Cluster 1","Clustered","110.94901960784314","GO:0030947","false","GO:0030947","false"
"0.9999999845376418",,"1.5462358192611022E-8",,"REN1|ANGPT1|AGT|NPNT|COL4A3|BMPER|FGF10|MMP17|VEGFA|ADAMTS16|PCSK5|ADIPOQ|LAMA5|PDGFB|COL4A4","kidney development","15","ENR","GO:0001822","1.0","1.5462358192611022E-8","Cluster 7","Clustered","70.62631578947368","GO:0001822","false","GO:0001822",
"0.99946293611208",,"5.370638879199546E-4",,"ANGPT1|KDR|VEGFB|FGF10","positive regulation of vascular endothelial growth factor receptor signaling pathway","4","ENR","GO:0030949","1.0","5.370638879199546E-4","Cluster 1","Clustered","109.83661417322834","GO:0030949","false","GO:0030949","false"
"0.9999144761301647",,"8.552386983524825E-5",,"REN1|COL3A1|TFPI|ADAMTS12|AGT|FGFBP3|NPNT|KDR|ASPN|BMPER|FGF10|IGF2|IGF1|COL1A1|COL1A2|COL4A1|COL5A2|GREM2|ADAMTS7|C1QTNF12","cellular response to endogenous stimulus","20","ENR","GO:0071495","1.0","8.552386983524825E-5","Cluster 11","Clustered","48.0","GO:0071495","false","GO:0071495","false"
"0.999982184969162",,"1.78150308379584E-5",,"REN1|VEGFA|ADAMTS16|LAMA5|AGT|NPNT|BMPER|FGF10","mesonephros development","8","ENR","GO:0001823","1.0","1.78150308379584E-5","Cluster 7","Clustered","65.99873417721518","GO:0001823","false","GO:0001823",
