"EnrichmentMap::Colouring (mat_d_en)","EnrichmentMap::ES (mat_d_en)","EnrichmentMap::fdr_qvalue (mat_d_en)","EnrichmentMap::fwer_qvalue (mat_d_en)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (mat_d_en)","EnrichmentMap::pvalue (mat_d_en)","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
"0.9950176105038312",,"0.004982389496168831",,"LAMA5|NRTN|WNT5A|NOG|KITL|SDCBP|EDN3|GREM1|EDN1|TGFB2","mesenchyme development","10","ENR","GO:0060485","1.0","0.004982389496168831","Cluster 1","Clustered","76.16150442477876","GO:0060485","false","GO:0060485"
"0.9992422862028464",,"7.577137971536512E-4",,"SPARC|PTN|EMILIN1|AGT|TAFA5|THBS4|TGFB2","negative regulation of angiogenesis","7","ENR","GO:0016525","1.0","7.577137971536512E-4","Cluster 2","Clustered","53.5813492063492","GO:0016525","false","GO:0016525"
"0.9791538540515148",,"0.020846145948485204",,"NPNT|LAMA5|NOG|GREM1|AGT","renal tubule morphogenesis","5","ENR","GO:0061333","1.0","0.020846145948485204","Cluster 1","Clustered","75.81055900621118","GO:0061333","false","GO:0061333"
"0.9990884156404566",,"9.115843595434359E-4",,"SPARC|PTN|EMILIN1|AGT|TAFA5|THBS4|TGFB2","negative regulation of vasculature development","7","ENR","GO:1901343","1.0","9.115843595434359E-4","Cluster 2","Clustered","53.5813492063492","GO:1901343","false","GO:1901343"
"0.9999967858043193",,"3.214195680758957E-6",,"SPARC|PTN|WNT5A|EMILIN1|EMC10|GREM1|HSPB6|TAFA5|THBS4|TGFB2|IGF2|SMOC2|AGT|HYAL1","regulation of vasculature development","14","ENR","GO:1901342","1.0","3.214195680758957E-6","Cluster 2","Clustered","56.24952120383037","GO:1901342","false","GO:1901342"
"0.9593349442301466",,"0.0406650557698533",,"CHGA|EDN3|EDN1|TGFB2","positive regulation of blood circulation","4","ENR","GO:1903524","1.0","0.0406650557698533","Cluster 1","Clustered","74.27564356435643","GO:1903524","false","GO:1903524"
"0.9999999999991654",,"8.345972485230749E-13",,"CXCL14|PTN|EMILIN1|NOG|EDN3|GREM1|POSTN|IGFBP3|TRF|TAFA5|THBS4|TGFB2|LAMA5|IGF2|CCN4|KITL|SMOC2|AGT|EDN1|HYAL1|SPARC|NBL1|WNT5A|CALR|SDCBP|HSPB6|SCUBE2|CPE|NPNT|FSTL4|CBLN2|ACHE|ASPN|GAL|NOTUM|HSP90AB1|LGI4|FGL2|SOSTDC1|IL4RA|TNFRSF11B|ZBED3|PRXL2A|CHADL|ADAMTS7|PKDCC|HSPA1A|BRINP2|SEZ6|YBX1","regulation of developmental process","50","ENR","GO:0050793","1.0","8.345972485230749E-13","Cluster 1","Clustered","76.05909090909091","GO:0050793","false","GO:0050793"
"0.9988385385534769",,"0.0011614614465230478",,"SCG2|SPARC|PTN|WNT5A|NOG|EMC10|IGFBP3|THBS4|TGFB2|WFDC1|LAMA5|IGF2|COL8A2|HYAL1","epithelial cell proliferation","14","ENR","GO:0050673","1.0","0.0011614614465230478","Cluster 2","Clustered","55.23003701745108","GO:0050673","false","GO:0050673"
"0.9999999908441896",,"9.155810442187118E-9",,"SCG2|CXCL14|PTN|SCGN|SST|EMILIN1|NOG|TNC|EDN3|GREM1|POSTN|IGFBP3|TRF|TAFA5|THBS4|TGFB2|CEMIP|LAMA5|IGF2|SNCA|CCN4|ARTN|KITL|CD9|SMOC2|JAM3|ANGPT1|AGT|EDN1|VTN|PDGFA|HYAL1|SDC4|SPARC|GPI1|LIPG|HSPB6|SCUBE2|CPE|NPNT|FSTL4|CBLN2|ACHE|CHGA|ASPN|IL17B|GAL|GFRA4|PCSK9|NOTUM|GRP|APOC1|HSP90AB1|NPY|LGI4|FGL2|SOSTDC1|IL4RA|TMEM25|TNFRSF11B|ZBED3|COLEC10|CHL1|HSPA1A|DKK3|DKK2|NRTN|VGF|BRINP2|SERPINI1|CHRDL1|SEZ6|GREM2|RSPO3|COL1A2|DHH|CAP2|SPARCL1|TNFRSF19|QSOX1|NELL2|REG3B|ITLN1|WFDC1|PCSK1N|MASP1|CFD|IDE|CALCB|FIBIN|ANGPTL1|VIP|SCG5","regulation of cellular process","93","ENR","GO:0050794","1.0","9.155810442187118E-9","Cluster 1","Clustered","76.6510067114094","GO:0050794","false","GO:0050794"
"0.997832289904776",,"0.0021677100952240207",,"SNCA|CHGA|VGF|EDN3|GAL|IGFBP3|AGT|GRP|EDN1|NELL2|SCG5|CPE","signal release","12","ENR","GO:0023061","1.0","0.0021677100952240207","Cluster 5","Clustered","36.44642857142857","GO:0023061","false","GO:0023061"
